WINDOW size=1936x1056
ELEMENTS=112
[0] ControlType.Window | name='ذخیره تغییرات' | id='' | en=True | off=False
[1] ControlType.Pane | name='Yes' | id='6' | en=True | off=False
[2] ControlType.Pane | name='No' | id='7' | en=True | off=False
[3] ControlType.Pane | name='Cancel' | id='2' | en=True | off=False
[4] ControlType.Pane | name='' | id='20' | en=True | off=False
[5] ControlType.Pane | name='تغییراتی که ایجاد کرده‌اید ذخیره نشده است.
آیا می‌خواهید آن‌ها را ذخیره کنید؟' | id='65535' | en=True | off=False
[6] ControlType.Custom | name='' | id='' | en=True | off=False
[7] ControlType.Text | name='شخص جدید' | id='' | en=True | off=False
[8] ControlType.Text | name='شناسه یکتا' | id='' | en=True | off=False
[9] ControlType.Custom | name='' | id='CodeModeToggle' | en=True | off=False
[10] ControlType.Button | name='' | id='BtnSecond' | en=True | off=False
[11] ControlType.Button | name='' | id='BtnFirst' | en=True | off=False
[12] ControlType.Text | name='انتخاب شعبه' | id='' | en=True | off=False
[13] ControlType.Custom | name='' | id='ManualCodeTextBox' | en=False | off=False
[14] ControlType.Edit | name='' | id='PART_TextBox' | en=False | off=False
[15] ControlType.ComboBox | name='' | id='BranchCombo' | en=True | off=False
[16] ControlType.Edit | name='' | id='PART_EditableTextBox' | en=True | off=False
[17] ControlType.Text | name='نوع شخص' | id='' | en=True | off=False
[18] ControlType.Custom | name='' | id='LegalTypeToggle' | en=True | off=False
[19] ControlType.Button | name='' | id='BtnSecond' | en=True | off=False
[20] ControlType.Button | name='' | id='BtnFirst' | en=True | off=False
[21] ControlType.Custom | name='' | id='PersonActiveToggle' | en=True | off=False
[22] ControlType.Text | name='فعال شدن شخص' | id='LabelText' | en=True | off=False
[23] ControlType.Text | name='نام *' | id='' | en=True | off=False
[24] ControlType.Custom | name='' | id='FirstNameInput' | en=True | off=False
[25] ControlType.Edit | name='' | id='PART_TextBox' | en=True | off=False
[26] ControlType.Text | name='نام خانوادگی *' | id='' | en=True | off=False
[27] ControlType.Custom | name='' | id='LastNameInput' | en=True | off=False
[28] ControlType.Edit | name='' | id='PART_TextBox' | en=True | off=False
