WINDOW size=1936x1056
ELEMENTS=105
[0] ControlType.Custom | name='' | id='' | en=True | off=False
[1] ControlType.Text | name='شخص جدید' | id='' | en=True | off=False
[2] ControlType.Text | name='شناسه یکتا' | id='' | en=True | off=False
[3] ControlType.Custom | name='' | id='CodeModeToggle' | en=True | off=False
[4] ControlType.Button | name='' | id='BtnSecond' | en=True | off=False
[5] ControlType.Button | name='' | id='BtnFirst' | en=True | off=False
[6] ControlType.Text | name='انتخاب شعبه' | id='' | en=True | off=False
[7] ControlType.Custom | name='' | id='ManualCodeTextBox' | en=False | off=False
[8] ControlType.Edit | name='' | id='PART_TextBox' | en=False | off=False
[9] ControlType.ComboBox | name='' | id='BranchCombo' | en=True | off=False
[10] ControlType.Edit | name='' | id='PART_EditableTextBox' | en=True | off=False
[11] ControlType.Text | name='نوع شخص' | id='' | en=True | off=False
[12] ControlType.Custom | name='' | id='LegalTypeToggle' | en=True | off=False
[13] ControlType.Button | name='' | id='BtnSecond' | en=True | off=False
[14] ControlType.Button | name='' | id='BtnFirst' | en=True | off=False
[15] ControlType.Custom | name='' | id='PersonActiveToggle' | en=True | off=False
[16] ControlType.Text | name='فعال شدن شخص' | id='LabelText' | en=True | off=False
[17] ControlType.Text | name='نام *' | id='' | en=True | off=False
[18] ControlType.Custom | name='' | id='FirstNameInput' | en=True | off=False
[19] ControlType.Edit | name='' | id='PART_TextBox' | en=True | off=False
[20] ControlType.Text | name='علی' | id='PlaceholderText' | en=True | off=False
[21] ControlType.Text | name='نام خانوادگی *' | id='' | en=True | off=False
[22] ControlType.Custom | name='' | id='LastNameInput' | en=True | off=False
[23] ControlType.Edit | name='' | id='PART_TextBox' | en=True | off=False
[24] ControlType.Text | name='علوی' | id='PlaceholderText' | en=True | off=False
[25] ControlType.Text | name='کد ملی *' | id='' | en=True | off=False
[26] ControlType.Custom | name='' | id='NationalCodeInput' | en=True | off=False
[27] ControlType.Edit | name='' | id='PART_TextBox' | en=True | off=False
[28] ControlType.Text | name='۲۴۷۰۵۴۵۲۵۶' | id='PlaceholderText' | en=True | off=False
[29] ControlType.Text | name='نوع دسته بندی' | id='' | en=True | off=False
[30] ControlType.Text | name='دسته بندی اشخاص' | id='' | en=True | off=False
[31] ControlType.Button | name='مشتری' | id='PersonTypeCustomer' | en=True | off=False
[32] ControlType.Text | name='مشتری' | id='' | en=True | off=False
[33] ControlType.Button | name='تامین کننده' | id='PersonTypeSupplier' | en=True | off=False
[34] ControlType.Text | name='تامین کننده' | id='' | en=True | off=False
