WINDOW size=1936x1056
ELEMENTS=119
[0] ControlType.Window | name='حذف شخص' | id='' | en=True | off=False
[1] ControlType.Pane | name='Yes' | id='6' | en=True | off=False
[2] ControlType.Pane | name='No' | id='7' | en=True | off=False
[3] ControlType.Pane | name='' | id='20' | en=True | off=False
[4] ControlType.Pane | name='آیا از حذف «QA FinalTest2» مطمئن هستید؟' | id='65535' | en=True | off=False
[5] ControlType.Custom | name='' | id='' | en=True | off=False
[6] ControlType.Text | name='لیست اشخاص' | id='' | en=True | off=False
[7] ControlType.Custom | name='' | id='Root' | en=True | off=False
[8] ControlType.Text | name='حذف' | id='BtnText' | en=True | off=False
[9] ControlType.Custom | name='' | id='Root' | en=True | off=False
[10] ControlType.Text | name='چاپ' | id='BtnText' | en=True | off=False
[11] ControlType.Custom | name='' | id='Root' | en=True | off=False
[12] ControlType.Text | name='Excel' | id='BtnText' | en=True | off=False
[13] ControlType.Custom | name='' | id='Root' | en=True | off=False
[14] ControlType.Text | name='PDF' | id='BtnText' | en=True | off=False
[15] ControlType.Custom | name='' | id='Root' | en=True | off=False
[16] ControlType.Text | name='بروزرسانی' | id='BtnText' | en=True | off=False
[17] ControlType.Text | name='اشخاص انتخاب شده' | id='PanelHeaderText' | en=True | off=False
[18] ControlType.Text | name='(۰)' | id='SelectedCountText' | en=True | off=False
[19] ControlType.Pane | name='' | id='DetailPanelScroll' | en=True | off=False
[20] ControlType.Text | name='شخص جدید' | id='BtnNewText' | en=True | off=False
[21] ControlType.Edit | name='' | id='SearchBox' | en=True | off=False
[22] ControlType.Button | name='همه اشخاص' | id='tabAll' | en=True | off=False
[23] ControlType.Button | name='مشتری' | id='tabCustomers' | en=True | off=False
[24] ControlType.Button | name='تامین کننده' | id='tabSuppliers' | en=True | off=False
[25] ControlType.Button | name='پرسنل' | id='tabPersonnel' | en=True | off=False
[26] ControlType.Custom | name='' | id='PersonsGrid' | en=True | off=False
[27] ControlType.DataGrid | name='' | id='DataGridView' | en=True | off=False
[28] ControlType.Header | name='' | id='PART_ColumnHeadersPresenter' | en=True | off=False
